"","rGAL_1 MaxLFQ Intensity","rGAL_2 MaxLFQ Intensity","rGAL_3 MaxLFQ Intensity","UL_1 MaxLFQ Intensity","UL_2 MaxLFQ Intensity","UL_3 MaxLFQ Intensity"
"EIF2S2",17.8591564466865,17.9188153228515,17.7623272072627,17.3507672575083,17.36438827421,17.6088946969142
"LMNB1",14.5097020675119,14.4162841951558,14.1296310895373,13.9445889948592,13.3933595706289,11.9199829861539
"FLG",14.4841776649682,15.4046102958632,15.2380012388487,14.9423808959152,15.4447210893594,16.1345093466
"FLNA",15.0327128363502,15.0865991868293,15.2588089161803,15.1384478859091,15.1471553871092,14.8165773582355
"FBL",15.6856015720299,15.5438592349421,15.5483851454014,14.8019581316557,15.4407024436675,15.2199959492356
"HNRNPA2B1",14.8574959667463,15.1048703389277,15.0012286380624,15.1163360410149,14.9140335258357,14.9476851943808
"TGM1",16.3392160407062,16.5782392606677,16.5503471936918,16.4833198285755,16.7264385069326,16.5560151638705
"XPA",13.9762436878169,13.5343495771554,13.648389491734,13.39357158743,13.3464203526299,13.2780467338472
"PPIB",14.8192716065744,14.8398533763185,14.6422909185158,14.3560685486542,13.3516931734308,11.9546794474402
"RPS3",16.0243376018071,16.4194287772678,16.1933189824449,15.3428140611576,16.1810079879147,16.2279430395371
"MCM3",16.9301549591793,16.6415357277309,16.3306746351054,16.0620556268843,16.1158574976682,16.2096974242498
"AZGP1",14.8099471484221,14.9004526865018,14.5221133272286,15.0793719855323,14.98248334673,14.7680006578715
"ATP5F1A",15.4890310087787,16.0041982971789,15.1493170090866,15.8841097614754,15.3834717660447,15.5685269995207
"PSMA3",15.7138582244391,15.4198737912634,15.383193798852,15.948825986404,16.2550335504727,16.2257547843439
"MSN",17.6357857734119,17.461805791349,17.6143191859161,17.7788669141431,17.4021260497764,17.8398899779941
"RPL13",16.9891477684931,16.4946683619164,16.9095571391009,16.9591188757234,17.1196282204221,16.8732718401358
"VARS1",15.2606723392609,15.1437638483894,15.4256040671961,15.8977306142706,15.2339904131296,15.3148597768016
"EEF1G",18.4448056208354,18.0666295111181,18.4121216638654,18.7072286866417,18.0901203300619,18.2633667756126
"STOM",14.8539177989254,15.2145115128503,14.4947634135296,14.9115515225968,14.9788130008387,15.0317592608304
"CANX",14.891786925757,14.5293212863574,15.49019548719,15.4968992352937,15.0103220106066,15.0880764031314
"PSMB6",14.671209987267,14.806971101646,14.6779246804517,13.8232673148266,15.0001965696572,14.8092513736569
"SERPINB3",16.0499773101914,15.4554784564488,16.1186014820912,15.6388897959932,15.9989055001023,15.7465250790425
"EEF1D",15.6181484177901,16.1154497981506,15.9330465167441,15.5641593167638,14.8265061829752,15.2939899344515
"CORO1A",13.4493408371164,12.6238037076375,12.8478264022051,12.8320956804953,13.3358395443882,13.3604450948559
"HNRNPH1",15.2136854117314,15.5213891111337,14.9898435867497,15.5913398359741,15.4324868326489,14.9305458554996
"CASP14",16.2276648245595,16.0402550404396,15.7017702268632,15.6441103296796,16.3756705741995,16.7376159195268
"PRDX2",15.6686240925256,15.8192082778959,15.6682177053671,15.241814008804,16.1829795148022,16.2436269864369
"RPL9",15.217028951743,14.6167659783119,15.3823484292901,13.2531927839328,13.1154818986622,13.4254853997912
"RFC4",15.4384223290317,15.8150249793832,15.6262836949993,15.8790237761546,15.7213612302912,15.8718527908149
"RFC2",15.0676719892268,15.4169132182444,15.233307648234,14.8908820218444,15.1340811279368,14.8930480698587
"RFC1",16.0775613811184,16.0345145472381,15.7717586601108,15.8656386053805,16.0546675658984,16.1190590490869
"RPL22",18.4595211919258,18.2445217884974,18.28073181017,17.8130348543609,17.4979795075681,17.5796441605094
"GTF2F1",14.4036516514845,14.1791750735788,14.2938087891149,14.465037668351,15.0221115905269,14.5059044479874
"MYH9",20.7477788082633,20.7965473667072,21.0379558873043,21.0710256216376,20.6159103085009,20.733502388097
"MYH10",14.7420641233839,14.3441564868989,14.3403754027492,14.8562143419897,14.8012440051289,14.4072222145199
"DEK",17.365491845046,17.1755122236158,17.1107646764235,16.9924072046988,16.8391875458738,16.9402191810462
"ATP5F1C",15.7421836264119,15.9780282258508,16.3644939499693,14.9561405746683,15.4973655563017,15.0554889861024
"PPP1CC",14.8374683804097,14.9307801115064,14.7712943148781,14.6015042040536,13.5709846447846,14.2009850936684
"DLST",16.1102040297815,16.3590638702181,15.8106244746884,16.3653085562241,15.758208637769,16.2120585857649
"SRP14",18.0527748311888,18.2735869148322,18.0130067003034,17.9901564392507,18.0616491184376,18.1132943569485
"HSPA9",16.6384766419456,16.7734708596432,15.7440680432815,16.3053852675792,16.6362079844617,16.65474831519
"EIF4A3",15.5221489214661,15.2260207574804,14.7534905719533,15.5359433433691,15.803476041881,15.6189991136752
"RPL3",15.3432754646139,15.0803651309395,15.1960734666583,15.4240490125797,15.3405052450397,15.2671264620133
"RPL13A",16.1327348713631,15.621084444402,15.9287527525252,15.5232985790436,15.1071640608065,15.7956560376933
"RFC5",14.7131771628932,14.7099229859864,14.8931064371596,14.5168668134371,14.890800864717,14.7800734202877
"RFC3",16.069162114436,15.877055099011,16.1321199279246,15.9517967626108,16.0599558414532,15.88176746212
"HADHA",15.5903645354057,15.8106903650229,15.2785671370291,15.7050820119399,15.6886292400507,15.8594081179434
"EIF2S3",20.8845107724083,20.8255010658716,20.8633823895128,20.8451496586206,20.3259430994972,20.4669272169884
"CSK",15.5281245360285,15.8786435933666,15.079370027006,15.4214728979639,14.6715898817858,15.3051565160866
"IARS1",16.3028986790331,16.0953257269718,16.4221117555203,16.337304221861,15.9458291269779,16.0296004096592
"TMPO",17.1307168478511,17.12729331065,17.0998874255353,15.6777687710442,15.9621853924945,15.5660346482575
"STAT1",14.5007958300673,13.7458535994409,14.2722146005305,14.3475622008036,13.1605393824848,13.2620442097922
"RBM34",14.812189321892,14.7602679950756,14.6731090125429,14.6864801187694,13.5709846447846,14.2908635144333
"RPL35",16.9163946517139,16.5287362792518,16.9578139607033,16.1938706696885,15.9617042146483,16.395045991941
"MATR3",15.404544938103,15.2042148585068,14.5971579264634,14.8998559260119,15.2128157581459,15.1062181736522
"RPL27A",19.7725355959765,19.3584678307214,19.842346353111,19.7706467959089,19.6321064761679,19.823553150713
"RPL21",16.5729198584306,16.6674328630609,16.5631393571085,16.3687852269328,16.1279584626614,16.126858307485
"RPL28",17.8900190008658,17.7119220115675,18.0291577927793,17.5480911363331,17.7466414593349,17.4065695036616
"RPS9",14.8304840611443,14.5584643617869,14.8460659359056,14.8592721189862,15.3507386015099,15.1609956395196
"IQGAP1",16.0483024383687,16.0707532431406,16.0251539268529,15.9460355482856,15.7968397966016,15.4585879640876
"QARS1",15.3724817253191,15.3666001043734,15.5021222133852,15.2281334730741,14.7245798259193,14.5753971920495
"RPL29",17.5543938432518,17.2484705722607,17.6282204574828,16.7373960314162,16.3611429297517,16.9332087311054
"LGALS7",13.1375059670024,13.045688198444,15.0971707008047,14.9905782676311,15.5417350918379,15.2247119904256
"ATP5PO",14.8432561634094,14.9204302735051,15.4083147126158,14.9004133950992,14.9140905362689,14.5488488142778
"PIP4K2A",18.5579627352896,18.374748586746,18.4152782273878,18.5281702079197,18.2259845255255,18.3907684148136
"TUFM",14.6715658947677,15.3404146278974,14.4402047521753,15.2303934490771,15.2844476927548,15.4769719870276
"SRP9",19.3615713783242,19.0420626182326,19.0009429821977,19.2370914790794,18.9841593013983,18.7827986168421
"CPT1A",14.1983724211267,14.0758587429404,14.1630301557999,13.9500263621447,14.2255838806111,13.9788002304556
"CCT4",13.5637523669369,12.1947264498453,14.147366567067,14.5982164228899,14.4450369673678,15.6782999594075
"SMARCA2",13.3199602844171,13.0852170989744,12.7409831136638,13.384467282835,13.68076937179,13.4408964124938
"MECP2",14.0191936893639,13.7644081334342,14.9141580112803,14.5473420984371,14.1361852969304,14.3127462784075
"HNRNPA3",15.0009267025534,14.1994718288015,14.537245159565,14.8828491612202,14.8457679781895,14.3423301457799
"HNRNPM",14.9514937266642,15.9514381753114,15.5818609499035,15.4958089116121,14.5479299403419,15.5025540013556
"KPNA2",14.9117147978121,14.5817460802443,14.5712317408315,15.1750500097502,15.2416700205126,15.5109205173299
"POLR2H",14.1103093243978,13.9395960175005,14.2026495830122,14.1425067752731,14.1724411041694,14.0701964323587
"HNRNPF",16.4793002961418,16.9321271880957,17.0622643726997,11.9429521042349,13.1389626022051,16.202075217783
"RARS1",15.7500832605092,15.674410719693,15.5721126799011,15.3064804204626,15.6290642830517,15.5130287755069
"HADHB",15.9734490790775,16.0536238747145,15.8970319149012,15.9033118271873,15.9911137717481,15.7396015800374
"EIF3B",15.4109136142923,15.3497953979679,15.1712004539653,15.2659029927447,15.3278156172435,14.9719664932977
"MARS1",15.1574599573121,14.8234190411836,15.3161496322732,15.0957038018898,15.6454375534794,14.7182183492508
"EIF6",12.1042068817299,13.987362350064,10.2954107674692,14.30228548875,15.0067415344552,14.5116025710917
"GNG2",15.4019735807717,14.9808328599047,14.9729618419865,15.2262009438283,14.9472223318324,14.9180915691385
"AP3S2",15.8474161150862,15.8566719144901,15.3718932121099,15.6000694083987,15.6366877710526,15.4788542881262
