"Protein","rPAL_detected","Sial_rPAL_detected","MAR_values_imputed","MNAR_values_imputed"
"ENO1",3,3,0,0
"PYGL",3,2,1,0
"GPI",3,3,0,0
"POLB",3,3,0,0
"NPM1",3,3,0,0
"TPM3",3,3,0,0
"LDHB",3,3,0,0
"GPX1",3,3,0,0
"P4HB",3,3,0,0
"CTSD",3,3,0,0
"ANXA2",3,3,0,0
"CAPN1",3,3,0,0
"TUBB",3,3,0,0
"PRSS1",3,3,0,0
"HEXB",2,1,1,2
"PFN1",3,3,0,0
"APRT",3,3,0,0
"EPRS1",3,3,0,0
"HSP90AA1",3,3,0,0
"HNRNPC",3,3,0,0
"YES1",3,3,0,0
"LYN",3,3,0,0
"FH",3,3,0,0
"ERCC1",2,2,2,0
"SP1",3,3,0,0
"ZFY",3,2,1,0
"ANXA6",2,3,1,0
"ABCB1",3,3,0,0
"SLC3A2",3,3,0,0
"HSP90AB1",3,3,0,0
"SRPRA",3,3,0,0
"ITGA2B",3,3,0,0
"PDHA1",3,3,0,0
"PLEK",3,3,0,0
"CYC1",3,3,0,0
"PTPRC",3,3,0,0
"SNRPB2",3,3,0,0
"SNRNP70",3,3,0,0
"RPS17",3,3,0,0
"GNAI3",3,2,1,0
"ANXA5",2,0,1,3
"RPSA",3,3,0,0
"MRPL3",3,3,0,0
"SNRPA",3,3,0,0
"SRP19",3,3,0,0
"GSTP1",3,3,0,0
"SNRPC",3,3,0,0
"LGALS1",3,3,0,0
"QDPR",1,2,1,2
"HMGB1",3,3,0,0
"GSTM1",3,3,0,0
"TPM1",3,3,0,0
"CLTA",3,3,0,0
"ANXA4",2,3,1,0
"CNP",3,3,0,0
"DLD",3,3,0,0
"HNRNPA1",3,3,0,0
"SNRPA1",3,3,0,0
"FGR",3,3,0,0
"PARP1",3,3,0,0
"POLA1",3,3,0,0
"IFIT1",3,2,1,0
"LTA4H",2,3,1,0
"ALDOC",3,3,0,0
"H2AZ1",3,3,0,0
"H2AC11",3,3,0,0
"TFPT",3,3,0,0
"FBXO45",3,2,1,0
"POLR2M",3,3,0,0
"POTEI",3,3,0,0
"SP9",3,3,0,0
"HSPA1A",3,3,0,0
"CALM1",3,3,0,0
"ERCC6",3,2,1,0
"POLR1D",3,3,0,0
"GATD3",2,1,1,2
"GLI2",3,3,0,0
"ZBTB48",3,3,0,0
"GLI4",3,3,0,0
"RO60",3,3,0,0
"HLA-C",2,2,2,0
"ARAF",2,3,1,0
"H1-4",3,3,0,0
"DLAT",3,3,0,0
"TXN",3,3,0,0
"MGST1",3,3,0,0
"PRKAR1A",3,3,0,0
"TFPI",3,3,0,0
"ESD",1,2,1,2
"HSPD1",3,3,0,0
"CLU",2,3,1,0
"HSPA5",3,3,0,0
"HSPA8",3,3,0,0
"SLC2A1",3,3,0,0
"EPB41",2,3,1,0
"UMPS",3,3,0,0
"PDHB",3,3,0,0
"DBT",3,3,0,0
"PYGB",3,3,0,0
"RALA",3,3,0,0
"RALB",3,3,0,0
"BCR",3,3,0,0
"LAMP1",3,1,0,2
"ERG",3,3,0,0
"ACADM",3,3,0,0
"FGFR1",2,1,1,2
"TOP1",3,3,0,0
"TOP2A",3,3,0,0
"G6PD",3,3,0,0
"PC",3,3,0,0
"MTHFD1",3,3,0,0
"ADH5",1,2,1,2
"PRPS2",3,3,0,0
"PABPC1",3,3,0,0
"PCNA",3,3,0,0
"SLC25A4",2,1,1,2
"SLC25A6",3,3,0,0
"IMPDH2",3,3,0,0
"TPR",3,3,0,0
"PIP",3,3,0,0
"BCKDHA",3,3,0,0
"SKI",3,3,0,0
"ACTN1",3,3,0,0
"MYL4",1,2,1,2
"PEPD",3,3,0,0
"XRCC6",3,3,0,0
"XRCC5",3,3,0,0
"COX4I1",3,2,1,0
"IFITM1",2,3,1,0
"LAMP2",3,3,0,0
"RNH1",2,3,1,0
"NCAM1",2,1,1,2
"EEF2",3,3,0,0
"PDIA4",3,3,0,0
"P4HA1",3,3,0,0
"TPT1",3,3,0,0
"LCP1",3,3,0,0
"APEH",3,3,0,0
"ETFA",3,3,0,0
"GYS1",3,1,0,2
"PRKAR2A",3,3,0,0
"MTHFD2",3,3,0,0
"MIF",3,3,0,0
"PRKCSH",3,3,0,0
"HCLS1",3,3,0,0
"FDPS",3,3,0,0
"TRIM27",3,3,0,0
"COX7A2",3,3,0,0
"AKR1A1",3,3,0,0
"PKM",3,3,0,0
"HSP90B1",3,3,0,0
"CCNB1",3,3,0,0
"MYL6B",3,3,0,0
"SNRPB",3,3,0,0
"IDE",2,2,2,0
"HNRNPL",3,3,0,0
"DARS1",3,3,0,0
"JUP",3,3,0,0
"CPA3",2,3,1,0
"GLUL",3,3,0,0
"ANPEP",3,3,0,0
"RAC2",3,3,0,0
"GSPT1",3,3,0,0
"EZR",3,3,0,0
"ATF2",2,3,1,0
"UCHL3",3,2,1,0
"FOSL2",3,3,0,0
"VAV1",3,3,0,0
"NME1",3,2,1,0
